,start_time,away_team,home_team,away_team_score,home_team_score,home_team_abbv,home_city,home_state,index_team,season_end_year,lat,lng,Prev_lat,Prev_lng,Dist_Km,Dist_Mi,code
24,2016-12-13 20:30:00+00:00,ORLANDO_MAGIC,ATLANTA_HAWKS,131,120,ATL,Atlanta,Georgia,ATLANTA_HAWKS,2017.0,33.7627,-84.4225,43.0642,-87.9673,1079.1213194920165,674.4508246825103,201612130ATL
25,2016-12-16 20:30:00+00:00,ATLANTA_HAWKS,TORONTO_RAPTORS,125,121,TOR,Toronto,Canada,ATLANTA_HAWKS,2017.0,43.6532,-79.3832,33.7627,-84.4225,1182.9026942525645,739.3141839078528,201612160TOR
26,2016-12-17 20:30:00+00:00,CHARLOTTE_HORNETS,ATLANTA_HAWKS,107,99,ATL,Atlanta,Georgia,ATLANTA_HAWKS,2017.0,33.7627,-84.4225,43.6532,-79.3832,1182.9026942525645,739.3141839078528,201612170ATL
27,2016-12-19 21:00:00+00:00,ATLANTA_HAWKS,OKLAHOMA_CITY_THUNDER,110,108,OKC,Oklahoma City,Oklahoma,ATLANTA_HAWKS,2017.0,35.4676,-97.5137,33.7627,-84.4225,1211.9678076708076,757.4798797942548,201612190OKC
28,2016-12-21 20:30:00+00:00,MINNESOTA_TIMBERWOLVES,ATLANTA_HAWKS,92,84,ATL,Atlanta,Georgia,ATLANTA_HAWKS,2017.0,33.7627,-84.4225,35.4676,-97.5137,1211.9678076708076,757.4798797942548,201612210ATL
29,2016-12-23 22:00:00+00:00,ATLANTA_HAWKS,DENVER_NUGGETS,109,108,DEN,Denver,Colorado,ATLANTA_HAWKS,2017.0,39.7621,-104.8759,33.7627,-84.4225,1934.9171282779514,1209.3232051737195,201612230DEN
30,2016-12-26 21:00:00+00:00,ATLANTA_HAWKS,MINNESOTA_TIMBERWOLVES,90,104,MIN,Minneapolis,Minnesota,ATLANTA_HAWKS,2017.0,44.9635,-93.2678,39.7621,-104.8759,1113.7872855006397,696.1170534378998,201612260MIN
31,2016-12-28 20:30:00+00:00,NEW_YORK_KNICKS,ATLANTA_HAWKS,98,102,ATL,Atlanta,Georgia,ATLANTA_HAWKS,2017.0,33.7627,-84.4225,44.9635,-93.2678,1457.1935942236435,910.7459963897771,201612280ATL
32,2016-12-30 21:00:00+00:00,DETROIT_PISTONS,ATLANTA_HAWKS,98,105,ATL,Atlanta,Georgia,ATLANTA_HAWKS,2017.0,33.7627,-84.4225,33.7627,-84.4225,0.0,0.0,201612300ATL
33,2017-01-01 19:00:00+00:00,SAN_ANTONIO_SPURS,ATLANTA_HAWKS,112,114,ATL,Atlanta,Georgia,ATLANTA_HAWKS,2017.0,33.7627,-84.4225,33.7627,-84.4225,0.0,0.0,201701010ATL
34,2017-01-04 20:00:00+00:00,ATLANTA_HAWKS,ORLANDO_MAGIC,111,92,ORL,Orlando,Florida,ATLANTA_HAWKS,2017.0,28.4772,-81.3369,33.7627,-84.4225,656.9300189696178,410.5812618560111,201701040ORL
35,2017-01-05 21:00:00+00:00,ATLANTA_HAWKS,NEW_ORLEANS_PELICANS,99,94,NOP,New Orleans,Louisiana,ATLANTA_HAWKS,2017.0,30.0687,-89.9288,28.4772,-81.3369,851.7227940106428,532.3267462566517,201701050NOP
36,2017-01-07 21:30:00+00:00,ATLANTA_HAWKS,DALLAS_MAVERICKS,97,82,DAL,Dallas,Texas,ATLANTA_HAWKS,2017.0,32.7936,-96.7662,30.0687,-89.9288,715.784097400848,447.36506087553005,201701070DAL
37,2017-01-10 20:30:00+00:00,ATLANTA_HAWKS,BROOKLYN_NETS,117,97,BRK,Brooklyn,New York,ATLANTA_HAWKS,2017.0,40.6501,-73.9496,32.7936,-96.7662,2204.918851345735,1378.0742820910846,201701100BRK
38,2017-01-13 21:00:00+00:00,BOSTON_CELTICS,ATLANTA_HAWKS,103,101,ATL,Atlanta,Georgia,ATLANTA_HAWKS,2017.0,33.7627,-84.4225,40.6501,-73.9496,1201.2820673889332,750.8012921180832,201701130ATL
39,2017-01-15 16:00:00+00:00,MILWAUKEE_BUCKS,ATLANTA_HAWKS,98,111,ATL,Atlanta,Georgia,ATLANTA_HAWKS,2017.0,33.7627,-84.4225,33.7627,-84.4225,0.0,0.0,201701150ATL
40,2017-01-16 14:00:00+00:00,ATLANTA_HAWKS,NEW_YORK_KNICKS,108,107,NYK,Manhattan,New York,ATLANTA_HAWKS,2017.0,40.7834,-73.9662,33.7627,-84.4225,1208.9915203063765,755.6197001914853,201701160NYK
41,2017-01-18 21:00:00+00:00,ATLANTA_HAWKS,DETROIT_PISTONS,95,118,DET,Detroit,Michigan,ATLANTA_HAWKS,2017.0,42.3834,-83.1024,40.7834,-73.9662,780.0056396253171,487.5035247658232,201701180DET
