"","code","away.pace","away.efg","away.tov","away.orb","away.ftprb","away.ortg","home.pace","home.efg","home.tov","home.orb","home.ftprb","home.ortg"
"73","201803250SAC","91.0",".639","15.9","10.0",".167","114.3","91.0",".506","13.9","17.9",".122","102.2"
"74","201803260PHO","92.4",".506","11.4","21.7",".161","110.4","92.4",".519","14.4","24.4",".123","101.7"
"75","201803280UTA","91.6",".519","15.4","25.0",".190","105.8","91.6",".470","14.9","27.9",".207","102.6"
"76","201803310BOS","94.3",".513","14.3","21.4",".213","105.0","94.3",".494","4.8","17.8",".261","116.6"
"77","201804030MIL","94.7",".512","15.7","23.8",".235","107.7","94.7",".576","14.5","25.0",".190","111.9"
"78","201804040TOR","91.7",".353","15.5","18.2",".333","85.0","91.7",".489","9.5","25.5",".065","104.7"
"79","201804060BOS","100.4",".547","15.4","18.4",".116","103.6","100.4",".642","16.9","15.0",".086","110.6"
"80","201804080BOS","95.0",".587","12.4","13.9",".128","117.9","95.0",".567","11.7","23.8",".159","111.6"
"81","201804100WAS","100.0",".454","13.9","24.1",".253","101.0","100.0",".584","17.9","24.4",".193","113.0"
"82","201804110BOS","100.0",".467","13.3","19.2",".132","97.0","100.0",".480","10.7","37.0",".118","109.9"
"83","201804150BOS","96.5",".530","17.6","12.8",".229","100.5","96.5",".473","12.4","22.9",".255","106.1"
"84","201804170BOS","92.2",".643","15.1","19.4",".091","114.9","92.2",".606","4.9","22.5",".122","130.1"
"85","201804200MIL","87.7",".450","14.8","36.2",".250","104.9","87.7",".671","9.5","20.0",".127","132.3"
"86","201804220MIL","88.3",".471","7.5","32.0",".230","115.5","88.3",".589","9.7","6.9",".247","117.8"
"87","201804240BOS","95.4",".420","10.3","13.5",".161","91.2","95.4",".493","17.0","14.3",".348","96.5"
"88","201804260MIL","88.1",".432","9.2","12.8",".198","97.7","88.1",".560","9.7","17.5",".173","110.2"
"89","201804280BOS","93.0",".534","15.5","11.4",".230","103.2","93.0",".589","13.1","28.2",".155","120.4"
"90","201804300BOS","96.1",".452","10.9","26.2",".313","105.1","96.1",".582","9.7","12.8",".212","121.8"
"91","201805030BOS","92.9",".505","10.1","30.8",".109","110.9","92.9",".543","8.9","13.2",".232","116.3"
"92","201805050PHI","91.4",".505","11.8","19.6",".099","100.1","91.4",".438","11.8","24.5",".134","97.1"
"93","201805070PHI","93.9",".487","14.8","14.0",".253","98.0","93.9",".441","7.1","30.8",".213","109.7"
"94","201805090BOS","97.1",".537","14.3","31.6",".293","115.3","97.1",".488","8.8","26.5",".365","117.4"
"95","201805130BOS","91.9",".384","8.7","17.6",".198","90.4","91.9",".577","9.1","16.2",".131","117.6"
"96","201805150BOS","92.7",".525","14.6","18.6",".125","101.4","92.7",".489","4.7","22.9",".185","115.4"
"97","201805190CLE","93.1",".432","14.8","14.0",".297","92.4","93.1",".599","13.6","22.2",".329","124.6"
"98","201805210CLE","98.0",".465","8.4","19.1",".271","104.1","98.0",".556","16.1","24.3",".259","113.3"
"99","201805230BOS","93.0",".480","15.4","7.3",".162","89.2","93.0",".441","7.8","16.3",".247","103.2"
"100","201805250CLE","88.1",".595","13.6","14.7",".149","112.4","88.1",".523","8.5","36.6",".207","123.8"
"101","201805270BOS","85.0",".523","13.5","6.1",".273","102.3","85.0",".382","5.1","22.0",".165","92.9"
