"","Date","Team","Acquired","Relinquished","Notes"
"2515","2012-12-23","Bobcats","","B.J. Mullens","sprained left ankle (out indefinitely)"
"2557","2012-12-29","Wizards","","Jordan Crawford","sore left ankle (DNP)"
"2562","2012-12-30","Kings","","Aaron Brooks","sore left ankle (DNP)"
"2572","2013-01-01","Kings","","Marcus Thornton ","sprained left ankle (DNP)"
"2580","2013-01-02","Celtics","","Kris Joseph","sprained right ankle (DNP)"
"2584","2013-01-02","Kings","","Marcus Thornton ","sprained left ankle (DNP)"
"2601","2013-01-04","Jazz","","Enes Kanter","sprained right ankle (DNP)"
"2603","2013-01-04","Kings","","Marcus Thornton ","sprained left ankle (DNP)"
"2604","2013-01-04","Pacers","","Sam Young","sprained left ankle (DNP)"
"2608","2013-01-05","Bucks","","Sam Young","sprained left ankle (DNP)"
"2612","2013-01-05","Jazz","","Enes Kanter","sprained right ankle (DNP)"
"2614","2013-01-05","Kings","","Marcus Thornton ","sprained left ankle (DNP)"
"2618","2013-01-05","Spurs","","Stephen Jackson","sprained right ankle (DNP)"
"2631","2013-01-07","Wizards","","Jordan Crawford","sore left ankle (DNP)"
"2650","2013-01-09","Raptors","","Terrence Ross","sprained left ankle (DNP)"
"2662","2013-01-11","Nets","","Kris Humphries","sore left ankle (DNP)"
"2675","2013-01-12","Wizards","","Jordan Crawford","sore left ankle (DNP)"
"2689","2013-01-14","Wizards","","Jordan Crawford","sore left ankle (DNP)"
"2690","2013-01-14","Wizards","","Trevor Booker","sprained left ankle (DNP)"
"2695","2013-01-16","Warriors","","Stephen Curry","sprained right ankle (DNP)"
"2696","2013-01-16","Wizards","","Jordan Crawford","sore left ankle (DNP)"
"2697","2013-01-16","Wizards","","Trevor Booker","sprained left ankle (DNP)"
"2709","2013-01-19","Hornets","","Brian Roberts","sprained left ankle (DNP)"
"2711","2013-01-19","Timberwolves","","Alexey Shved","sprained left ankle (DNP)"
"2715","2013-01-19","Warriors","","David Lee","sprained left ankle (DNP)"
"2720","2013-01-21","Hawks","","Devin Harris","sprained left ankle (DNP)"
"2722","2013-01-21","Timberwolves","","Alexey Shved","sprained left ankle (DNP)"
"2726","2013-01-22","Bucks","","Doron Lamb","ankle injury (DTD)"
"2730","2013-01-23","Hawks","","Devin Harris","sprained left ankle (DNP)"
"2734","2013-01-23","Timberwolves","","Alexey Shved","sprained left ankle (DNP)"
"2741","2013-01-25","Timberwolves","","Alexey Shved","sprained left ankle (DNP)"
"2746","2013-01-26","Cavaliers","","Luke Walton","sore left foot/ankle (DNP)"
"2749","2013-01-26","Timberwolves","","Alexey Shved","sprained left ankle (DNP)"
"2756","2013-01-28","Grizzlies","","Mike Conley Jr.","sprained left ankle (DNP)"
"2763","2013-01-29","Cavaliers","","Luke Walton","sore left ankle (DNP)"
"2765","2013-01-29","Warriors","","Stephen Curry","sprained right ankle (DNP)"
"2796","2013-02-02","Blazers","","Wes Matthews Jr.","sprained right ankle (DNP)"
"2857","2013-02-07","Bulls","","Marco Belinelli","sprained right ankle (DNP)"
"2922","2013-02-22","Pistons","","Brandon Knight","hyperextended right knee (P) / sprained right ankle (CBC) (DNP)"
"2928","2013-02-23","Pistons","","Brandon Knight","hyperextended right knee (P) / sprained right ankle (CBC) (DNP)"
"2935","2013-02-25","Pistons","","Brandon Knight","hyperextended right knee (P) / sprained right ankle (CBC) (DNP)"
"2947","2013-02-27","Jazz","","Paul Millsap","sprained left ankle (DNP)"
"2957","2013-03-01","Jazz","","Al Jefferson","sprained left ankle (DNP)"
"2958","2013-03-01","Jazz","","Paul Millsap","sprained left ankle (DNP)"
"2960","2013-03-01","Spurs","","Stephen Jackson","sprained right ankle (DNP)"
"2961","2013-03-02","76ers","","Nick Young","sprained left ankle (DNP)"
"2964","2013-03-02","Spurs","","Tony Parker","sprained left ankle (out indefinitely)"
"2970","2013-03-03","Grizzlies","","Zach Randolph","sprained left ankle (DNP)"
"2977","2013-03-04","Jazz","","Al Jefferson","sprained left ankle (DNP)"
"2981","2013-03-06","76ers","","Nick Young","sprained left ankle (DNP)"
"2987","2013-03-06","Grizzlies","","Zach Randolph","sprained left ankle (DNP)"
"2989","2013-03-06","Pistons","","Greg Monroe","sore left ankle (DNP)"
"2994","2013-03-07","Clippers","","Jamal Crawford","sore left ankle (DNP)"
"2997","2013-03-08","76ers","","Nick Young","sprained left ankle (DNP)"
"3002","2013-03-08","Grizzlies","","Zach Randolph","sprained left ankle (DNP)"
"3005","2013-03-09","Grizzlies","","Zach Randolph","sprained left ankle (DNP)"
"3010","2013-03-10","76ers","","Nick Young","sprained left ankle (DNP)"
"3011","2013-03-10","Blazers","","Meyers Leonard","sprained right ankle (DNP)"
"3012","2013-03-10","Blazers","","Victor Claver","sprained left ankle (DNP)"
"3013","2013-03-10","Bucks","","J.J. Redick","ankle injury (DNP)"
"3016","2013-03-10","Clippers","","Jamal Crawford","sore left ankle (DNP)"
"3022","2013-03-11","76ers","","Nick Young","sprained left ankle (DNP)"
"3024","2013-03-11","Pistons","","Jason Maxiell","sprained right ankle (DNP)"
"3025","2013-03-12","Blazers","","Victor Claver","sprained left ankle (DNP)"
"3038","2013-03-13","Hawks","","Jeff Teague","sprained left ankle (DNP)"
"3041","2013-03-13","Pistons","","Brandon Knight","sprained left ankle (DNP)"
"3042","2013-03-13","Rockets","","Tim Ohlbrecht","sprained right ankle (DNP)"
"3048","2013-03-14","Lakers","","Kobe Bryant","sprained left ankle (out indefinitely)"
"3050","2013-03-15","Cavaliers","","Wayne Ellington","sprained left ankle (DNP)"
"3053","2013-03-15","Rockets","","Tim Ohlbrecht","sprained right ankle (DNP)"
"3059","2013-03-16","Blazers","","Victor Claver","sprained left ankle (DNP)"
"3063","2013-03-16","Pistons","","Brandon Knight","sprained left ankle (DNP)"
"3068","2013-03-17","Lakers","","Kobe Bryant","sprained left ankle (DNP)"
"3078","2013-03-18","Lakers","","Kobe Bryant","sprained left ankle (DNP)"
"3080","2013-03-18","Nets","","Keith Bogans","left ankle injury (DTD)"
"3082","2013-03-18","Pistons","","Brandon Knight","sprained left ankle (DNP)"
"3086","2013-03-20","Bobcats","","Brendan Haywood","sore left ankle (DNP)"
"3101","2013-03-22","Pistons","","Brandon Knight","sprained left ankle (DNP)"
"3103","2013-03-22","Rockets","","Tim Ohlbrecht","sprained ankle (DNP)"
"3106","2013-03-22","Wizards","","Bradley Beal","sprained left ankle (DNP)"
"3110","2013-03-23","Celtics","","Courtney Lee","sprained left ankle (DNP)"
"3111","2013-03-23","Celtics","","Kevin Garnett","sprained left ankle (DNP)"
"3118","2013-03-23","Wizards","","Bradley Beal","sprained left ankle (DNP)"
"3125","2013-03-24","Rockets","","Tim Ohlbrecht","sprained right ankle (DNP)"
"3128","2013-03-25","Hornets","","Eric Gordon","sore left ankle (DNP)"
"3129","2013-03-25","Hornets","","Greivis Vasquez","sprained left ankle (DNP)"
"3134","2013-03-25","Wizards","","Bradley Beal","sprained left ankle (DNP)"
"3138","2013-03-26","Celtics","","Courtney Lee","sprained left ankle (DNP)"
"3139","2013-03-26","Celtics","","Kevin Garnett","left ankle inflammation (DNP)"
"3145","2013-03-27","Celtics","","Courtney Lee","sprained left ankle (DNP)"
"3146","2013-03-27","Celtics","","Kevin Garnett","left ankle inflammation (DNP)"
"3151","2013-03-27","Magic","","Andrew Nicholson","sprained left ankle (DNP)"
"3157","2013-03-27","Wizards","","Bradley Beal","sprained left ankle (DNP)"
"3158","2013-03-27","Wizards","","Jason Collins","sprained left ankle (P) / flu (CBC) (DNP)"
"3166","2013-03-29","Bobcats","","B.J. Mullens","sore left ankle (DNP)"
"3168","2013-03-29","Celtics","","Kevin Garnett","left ankle inflammation (DNP)"
"3171","2013-03-29","Hornets","","Greivis Vasquez","sore/sprained left ankle (DNP)"
"3180","2013-03-30","Bobcats","","B.J. Mullens","sore left ankle (DNP)"
"3187","2013-03-30","Magic","","Jameer Nelson","sprained right ankle (DNP)"
"3189","2013-03-30","Timberwolves","","Nikola Pekovic","sprained left ankle (DNP)"
"3192","2013-03-31","Celtics","","Kevin Garnett","left ankle inflammation (DNP)"
"3193","2013-03-31","Heat","","Dwyane Wade","sprained right ankle (DNP)"
"3197","2013-04-01","Bobcats","","B.J. Mullens","sore left ankle (DNP)"
"3198","2013-04-01","Cavaliers","","C.J. Miles","sore right ankle (DNP)"
"3200","2013-04-01","Celtics","","Paul Pierce","sore ankle (DNP) (P)"
"3203","2013-04-01","Magic","","Jameer Nelson","sprained right ankle (DNP)"
"3209","2013-04-02","Heat","","Dwyane Wade","sprained right ankle (DNP)"
"3213","2013-04-03","Bobcats","","B.J. Mullens","sore left ankle (DNP)"
"3220","2013-04-03","Magic","","Jameer Nelson","sprained right ankle (DNP)"
"3223","2013-04-03","Spurs","","Tony Parker","sore left ankle (DNP)"
"3225","2013-04-03","Wizards","","Jason Collins","sprained right ankle (DNP)"
"3231","2013-04-05","Bobcats","","B.J. Mullens","sore left ankle (DNP)"
"3235","2013-04-05","Celtics","","Paul Pierce","sore left ankle (P) / sore right ankle (CBC) (DNP)"
"3238","2013-04-05","Heat","","Ray Allen","sprained right ankle (DNP)"
"3245","2013-04-05","Magic","","Jameer Nelson","sprained right ankle (DNP)"
"3256","2013-04-07","Cavaliers","","Luke Walton","sprained right ankle (DNP)"
"3258","2013-04-07","Jazz","","Alec Burks","sprained left ankle (DNP)"
"3265","2013-04-07","Magic","","Jameer Nelson","sprained right ankle (DNP)"
"3269","2013-04-09","Bobcats","","B.J. Mullens","sore left ankle (P) / left elbow injury (CBC) (DNP)"
"3273","2013-04-09","Cavaliers","","Luke Walton","sprained right ankle (DNP)"
"3286","2013-04-10","Heat","","Udonis Haslem","sprained right ankle (DNP)"
"3291","2013-04-10","Magic","","Jameer Nelson","sprained right ankle (DNP)"
"3296","2013-04-10","Spurs","","Stephen Jackson","sprained right ankle (DTD)"
"3300","2013-04-11","Knicks","","Kenyon Martin","sprained left ankle (DNP)"
"3303","2013-04-12","Bobcats","","B.J. Mullens","sore left ankle (P) / left elbow injury (CBC) (DNP)"
"3305","2013-04-12","Celtics","","Kevin Garnett","sore left ankle (DNP)"
"3306","2013-04-12","Celtics","","Paul Pierce","sore left ankle (DNP)"
"3309","2013-04-12","Hornets","","Greivis Vasquez","sprained right ankle (DNP)"
"3310","2013-04-12","Knicks","","Kenyon Martin","sprained left ankle (DNP)"
"3316","2013-04-12","Raptors","","Terrence Ross","sprained left ankle (DNP)"
"3321","2013-04-12","Warriors","","Andrew Bogut","bone bruise in left ankle / sprained left ankle (DNP)"
"3324","2013-04-13","Bobcats","","B.J. Mullens","sore left ankle (P) / left elbow injury (CBC) (DNP)"
"3328","2013-04-13","Magic","","Jameer Nelson","sprained right ankle (DNP)"
"3331","2013-04-14","Blazers","","LaMarcus Aldridge","right ankle injury (DNP)"
"3332","2013-04-14","Cavaliers","","Luke Walton","sprained right ankle (DNP)"
"3333","2013-04-14","Cavaliers","","Shaun Livingston","back spasms (P) / sprained left ankle (CBC) (DNP)"
"3335","2013-04-14","Knicks","","Kenyon Martin","sprained left ankle (DNP)"
"3339","2013-04-14","Raptors","","Terrence Ross","sprained left ankle (DNP)"
"3340","2013-04-15","Bobcats","","B.J. Mullens","sore left ankle (P) / left elbow injury (CBC) (DNP)"
"3345","2013-04-15","Heat","","Mario Chalmers","sprained right ankle (DNP)"
"3348","2013-04-15","Knicks","","Kenyon Martin","sprained left ankle (DNP)"
"3351","2013-04-15","Magic","","Jameer Nelson","sprained right ankle (DNP)"
"3353","2013-04-15","Nuggets","","Kenneth Faried","sprained left ankle (DNP)"
"3359","2013-04-15","Warriors","","Andrew Bogut","bone bruise in left ankle (DNP)"
"3365","2013-04-16","Blazers","","LaMarcus Aldridge","right ankle injury (DNP)"
"3368","2013-04-17","Bobcats","","B.J. Mullens","sore left ankle (P) / left elbow injury (CBC) (DNP)"
"3379","2013-04-17","Hornets","","Greivis Vasquez","sprained right ankle (DNP)"
"3384","2013-04-17","Knicks","","Kenyon Martin","sprained left ankle (DNP)"
"3389","2013-04-17","Magic","","Jameer Nelson","sprained right ankle (DNP)"
"3394","2013-04-17","Raptors","","Terrence Ross","sprained left ankle (DNP)"
"3395","2013-04-17","Suns","","Goran Dragic","right ankle injury (DNP)"
"3400","2013-04-17","Wizards","","Emeka Okafor","sprained right ankle (DNP)"
"3408","2013-04-24","Lakers","","Jodie Meeks","sprained left ankle (DNP)"
"3409","2013-04-26","Lakers","","Jodie Meeks","sprained left ankle (DNP)"
"3419","2013-04-28","Lakers","","Jodie Meeks","sprained left ankle (DNP)"
"3432","2013-05-10","Pelicans","","Eric Gordon","arthroscopic surgery on left ankle to remove scar tissue (out indefinitely)"
"3440","2013-07-12","Mavericks","","Shane Larkin","fractured right ankle (out indefinitely)"
"3441","2013-07-12","Suns","","Alex Len","surgery on left / right (P) ankle to repair stress fracture (out indefinitely)"
"3443","2013-07-16","Mavericks","","Shane Larkin","surgery to repair fractured right ankle (out indefinitely)"
"3449","2013-09-27","76ers","","Arnett Moultrie","surgery on left ankle (out indefinitely)"
"3471","2013-10-29","Magic","","Doron Lamb","sprained right ankle (DNP)"
"3472","2013-10-29","Magic","","Tobias Harris","sprained left ankle (DNP)"
"3485","2013-10-30","Magic","","Doron Lamb","sprained right ankle (DNP)"
"3486","2013-10-30","Magic","","Tobias Harris","sprained left ankle (DNP)"
"3498","2013-11-01","Magic","","Doron Lamb","sprained right ankle (DNP)"
"3500","2013-11-01","Magic","","Tobias Harris","sprained left ankle (DNP)"
"3502","2013-11-01","Rockets","","Omri Casspi","sprained left ankle (DNP)"
"3509","2013-11-03","Magic","","Doron Lamb","sprained right ankle (DNP)"
"3511","2013-11-03","Magic","","Tobias Harris","sprained left ankle (DNP)"
"3512","2013-11-03","Suns","","Alex Len","left ankle injury (DNP)"
"3518","2013-11-05","Nuggets","","Anthony Randolph","sprained left ankle (DNP)"
"3520","2013-11-05","Suns","","Alex Len","left ankle injury (DNP)"
"3521","2013-11-05","Suns","","Goran Dragic","sprained left ankle (DNP)"
"3524","2013-11-06","Bucks","","Ersan Ilyasova","sore/aprained right ankle (DNP)"
"3529","2013-11-06","Magic","","Doron Lamb","sprained right ankle (DNP)"
"3531","2013-11-06","Magic","","Tobias Harris","sprained left ankle (DNP)"
"3533","2013-11-06","Suns","","Alex Len","left ankle injury (DNP)"
"3534","2013-11-06","Suns","","Goran Dragic","sprained left ankle (DNP)"
"3538","2013-11-07","Nuggets","","Anthony Randolph","sprained left ankle (DNP)"
"3543","2013-11-08","Magic","","Doron Lamb","sprained right ankle (DNP)"
"3545","2013-11-08","Magic","","Tobias Harris","sprained left ankle (DNP)"
"3546","2013-11-08","Suns","","Alex Len","left ankle injury (DNP)"
"3547","2013-11-08","Suns","","Goran Dragic","sprained left ankle (DNP)"
"3549","2013-11-08","Warriors","","Stephen Curry","bruised/sprained left ankle (DNP)"
"3553","2013-11-09","Bucks","","Ersan Ilyasova","sore/aprained right ankle (DNP)"
"3557","2013-11-09","Magic","","Doron Lamb","sprained right ankle (DNP)"
"3559","2013-11-09","Magic","","Tobias Harris","sprained left ankle (DNP)"
"3562","2013-11-10","Suns","","Alex Len","sore left ankle (DNP)"
"3570","2013-11-11","Magic","","Doron Lamb","sprained right ankle (DNP)"
"3572","2013-11-11","Magic","","Tobias Harris","sprained left ankle (DNP)"
"3576","2013-11-12","Bucks","","Ersan Ilyasova","sore/aprained right ankle (DNP)"
"3582","2013-11-13","Bucks","","Ersan Ilyasova","sore/aprained right ankle (DNP)"
"3589","2013-11-13","Magic","","Tobias Harris","sprained left ankle (DNP)"
"3593","2013-11-13","Suns","","Alex Len","sore left ankle (DNP)"
"3598","2013-11-15","Bucks","","Ersan Ilyasova","sore/aprained right ankle (DNP)"
"3603","2013-11-15","Suns","","Alex Len","sore left ankle (DNP)"
"3604","2013-11-15","Timberwolves","","Shabazz Muhammad","sprained right ankle (DNP)"
"3607","2013-11-16","Bucks","","Ersan Ilyasova","sore/aprained right ankle (DNP)"
"3611","2013-11-16","Magic","","Kyle O'Quinn","sprained right ankle (DNP)"
"3612","2013-11-16","Magic","","Tobias Harris","sprained left ankle (DNP)"
"3614","2013-11-16","Nets","","Brook Lopez","sprained left ankle (DNP)"
"3615","2013-11-16","Nets","","Deron Williams","sprained left ankle (DNP)"
"3617","2013-11-16","Timberwolves","","Shabazz Muhammad","sprained right ankle (DNP)"
"3624","2013-11-18","Nets","","Deron Williams","sprained left ankle (DNP)"
"3629","2013-11-19","Timberwolves","","Shabazz Muhammad","sprained right ankle (DNP)"
"3635","2013-11-20","Magic","","Kyle O'Quinn","sprained right ankle (DNP)"
"3636","2013-11-20","Magic","","Tobias Harris","sprained left ankle (DNP)"
"3639","2013-11-20","Raptors","","Quincy Acy","sprained right ankle (DNP)"
"3642","2013-11-20","Timberwolves","","Shabazz Muhammad","sprained right ankle (DNP)"
"3649","2013-11-22","Nets","","Deron Williams","sprained left ankle (DNP)"
"3653","2013-11-22","Timberwolves","","Shabazz Muhammad","sprained right ankle (DNP)"
"3660","2013-11-23","Celtics","","Kelly Olynyk","sprained right ankle (DNP)"
"3664","2013-11-23","Magic","","Kyle O'Quinn","sprained right ankle (DNP)"
"3668","2013-11-23","Timberwolves","","Shabazz Muhammad","sprained right ankle (DNP)"
"3673","2013-11-24","Nets","","Deron Williams","sprained left ankle (DNP)"
"3676","2013-11-25","Celtics","","Kelly Olynyk","sprained right ankle (DNP)"
"3681","2013-11-25","Timberwolves","","Shabazz Muhammad","sprained right ankle (DNP)"
"3683","2013-11-26","Nets","","Deron Williams","sprained left ankle (DNP)"
"3689","2013-11-27","Cavaliers","","Tyler Zeller","sprained right ankle (DNP)"
"3690","2013-11-27","Celtics","","Kelly Olynyk","sprained right ankle (DNP)"
"3693","2013-11-27","Hawks","","Shelvin Mack","sprained left ankle (DNP)"
"3695","2013-11-27","Nets","","Deron Williams","sprained left ankle (DNP)"
"3700","2013-11-29","Celtics","","Kelly Olynyk","sprained right ankle (DNP)"
"3705","2013-11-29","Nets","","Deron Williams","sprained left ankle (DNP)"
"3709","2013-11-29","Suns","","Alex Len","sore left ankle (DNP)"
"3715","2013-11-30","Celtics","","Kelly Olynyk","sprained right ankle (DNP)"
"3718","2013-11-30","Jazz","","Andris Biedrins","sprained left ankle (out indefinitely)"
"3719","2013-11-30","Mavericks","","Jose Calderon","bone bruise in right ankle (DNP)"
"3720","2013-11-30","Nets","","Deron Williams","sprained left ankle (DNP)"
"3736","2013-12-03","Celtics","","Kelly Olynyk","sprained right ankle (DNP)"
"3740","2013-12-03","Magic","","Nikola Vucevic","sprained left ankle (DNP)"
"3741","2013-12-03","Nets","","Deron Williams","sprained left ankle (DNP)"
"3755","2013-12-05","Nets","","Deron Williams","sprained left ankle (DNP)"
"3760","2013-12-06","Celtics","","Kelly Olynyk","sprained right ankle (DNP)"
"3764","2013-12-06","Magic","","Nikola Vucevic","sprained left ankle (DNP)"
"3776","2013-12-07","Grizzlies","","Ed Davis ","sprained right ankle (DNP)"
"3778","2013-12-07","Nets","","Deron Williams","sprained left ankle (DNP)"
"3781","2013-12-08","Celtics","","Kelly Olynyk","sprained right ankle (DNP)"
"3782","2013-12-08","Knicks","","Kenyon Martin","sore left ankle (DNP)"
"3785","2013-12-08","Magic","","Nikola Vucevic","sprained left ankle (DNP)"
"3794","2013-12-09","Bobcats","","Bismack Biyombo","sprained right ankle (DNP)"
"3799","2013-12-09","Clippers","","Reggie Bullock","sprained left ankle (DTD)"
"3800","2013-12-09","Grizzlies","","Ed Davis ","sprained left /right (CBC) ankle (DNP)"
"3803","2013-12-09","Magic","","Nikola Vucevic","sprained left ankle (DNP)"
"3805","2013-12-09","Pelicans","","Tyreke Evans","sprained left ankle (out indefinitely)"
"3806","2013-12-09","Wizards","","Martell Webster","left ankle injury (DNP)"
"3813","2013-12-10","Celtics","","Kelly Olynyk","sprained right ankle (DNP)"
"3814","2013-12-10","Hawks","","Gustavo Ayon","sprained left ankle (DTD)"
"3815","2013-12-10","Knicks","","Kenyon Martin","sore left ankle (DNP)"
"3819","2013-12-11","Bobcats","","Bismack Biyombo","sprained right ankle (DNP)"
"3824","2013-12-11","Celtics","","Kelly Olynyk","sprained right ankle (DNP)"
"3827","2013-12-11","Clippers","","Reggie Bullock","sprained left ankle (DNP)"
"3828","2013-12-11","Grizzlies","","Ed Davis ","sprained left /right (CBC) ankle (DNP)"
"3850","2013-12-13","Nets","","Brook Lopez","sprained left ankle (DNP)"
"3853","2013-12-13","Spurs","","Aron Baynes","left ankle injury (DNP)"
"3868","2013-12-15","Pelicans","","Tyreke Evans","sprained left ankle (DNP)"
"3879","2013-12-16","Nets","","Brook Lopez","sprained left ankle (DNP)"
"3884","2013-12-17","Pelicans","","Tyreke Evans","sprained left ankle (DNP)"
"3889","2013-12-18","Clippers","","Reggie Bullock","sprained left ankle (DNP)"
"3892","2013-12-18","Hawks","","Cartier Martin","sprained left ankle (DNP)"
"3903","2013-12-20","Bucks","","Ersan Ilyasova","sprained right ankle (DNP)"
"3908","2013-12-20","Cavaliers","","Tyler Zeller","sprained right ankle (DNP)"
"3909","2013-12-20","Hawks","","Cartier Martin","sprained left ankle (DNP)"
"3916","2013-12-21","Bucks","","Ersan Ilyasova","sprained right ankle (DNP)"
"3920","2013-12-21","Bulls","","Jimmy Butler","sprained right ankle (DNP)"
"3931","2013-12-21","Rockets","","James Harden","sprained left ankle (DNP)"
"3936","2013-12-22","Clippers","","Reggie Bullock","sprained left ankle (DNP)"
"3937","2013-12-23","Bucks","","Ersan Ilyasova","sprained right ankle (DNP)"
"3943","2013-12-23","Nuggets","","Kenneth Faried","sprained left ankle (DNP)"
"3945","2013-12-23","Rockets","","James Harden","sprained left ankle (DNP)"
"3948","2013-12-25","Clippers","","Reggie Bullock","sprained left ankle (DNP)"
"3949","2013-12-25","Knicks","","Carmelo Anthony","sprained left ankle (DNP)"
"3962","2013-12-27","Knicks","","Carmelo Anthony","sprained left ankle (DNP)"
"3967","2013-12-27","Nuggets","","Kenneth Faried","sprained left ankle (DNP)"
"3974","2013-12-28","Bucks","","John Henson","sprained left ankle (DNP)"
"3976","2013-12-28","Knicks","","Carmelo Anthony","sprained left ankle (DNP)"
"3995","2013-12-31","Bucks","","John Henson","sprained left ankle (DNP)"
"4007","2014-01-02","Bucks","","John Henson","sprained left ankle (DNP)"
"4010","2014-01-02","Magic","","Nikola Vucevic","sprained left ankle (DNP)"
"4014","2014-01-03","Knicks","","Kenyon Martin","sore left ankle (DNP)"
"4022","2014-01-04","Bucks","","John Henson","sprained left ankle (DNP)"
"4025","2014-01-04","Magic","","Nikola Vucevic","sprained left ankle (DNP)"
"4037","2014-01-06","Nets","","Deron Williams","sprained left ankle (DNP)"
"4041","2014-01-07","Bucks","","John Henson","sprained left ankle (DNP)"
"4043","2014-01-07","Celtics","","Kris Humphries","sprained left ankle (DNP)"
"4059","2014-01-08","Nets","","Deron Williams","sprained left ankle (DNP)"
"4071","2014-01-10","Bucks","","John Henson","sprained left ankle (DNP)"
"4082","2014-01-10","Nets","","Deron Williams","sprained left ankle (DNP)"
"4083","2014-01-10","Pelicans","","Jrue Holiday","stress fracture in right ankle/tibia (DNP)"
"4089","2014-01-11","Bucks","","John Henson","sprained left ankle (DNP)"
"4098","2014-01-11","Nuggets","","Anthony Randolph","sprained left ankle (DNP)"
"4100","2014-01-11","Pelicans","","Jrue Holiday","stress fracture in right ankle/tibia (DNP)"
"4101","2014-01-11","Pelicans","","Tyreke Evans","sore left ankle (DNP)"
"4112","2014-01-13","Nuggets","","Anthony Randolph","sprained left ankle (DNP)"
"4114","2014-01-13","Pelicans","","Jrue Holiday","stress fracture in right ankle/tibia (DNP)"
"4115","2014-01-13","Pelicans","","Tyreke Evans","sprained left ankle (DNP)"
"4131","2014-01-15","Pelicans","","Jrue Holiday","stress fracture in right ankle/tibia (DNP)"
"4132","2014-01-15","Pelicans","","Tyreke Evans","sprained left ankle (DNP)"
"4141","2014-01-17","Knicks","","Amar'e Stoudemire","sprained left ankle (DNP)"
"4142","2014-01-17","Knicks","","Kenyon Martin","sprained left ankle (DNP)"
"4153","2014-01-18","Pelicans","","Jrue Holiday","stress fracture in right ankle/tibia (DNP)"
"4156","2014-01-19","Bobcats","","Kemba Walker","sprained left ankle (DTD)"
"4169","2014-01-20","76ers","","Tony Wroten Jr.","sprained right ankle (DNP)"
"4171","2014-01-20","Knicks","","Amar'e Stoudemire","sprained left ankle (DNP)"
"4177","2014-01-20","Pelicans","","Jrue Holiday","stress fracture in right ankle/tibia (DNP)"
"4180","2014-01-20","Wizards","","Trevor Booker","sprained left ankle (DNP)"
"4187","2014-01-21","Pelicans","","Jrue Holiday","stress fracture in right ankle/tibia (DNP)"
"4188","2014-01-22","76ers","","Tony Wroten Jr.","sprained right ankle (DNP)"
"4189","2014-01-22","Bobcats","","Kemba Walker","sprained left ankle (DNP)"
"4193","2014-01-22","Celtics","","Avery Bradley","sprained right ankle (out indefinitely)"
"4195","2014-01-22","Knicks","","Amar'e Stoudemire","sprained left ankle (DNP)"
"4204","2014-01-23","Hawks","","Pero Antic","stress fracture in right ankle (out indefinitely)"
"4211","2014-01-24","76ers","","Tony Wroten Jr.","sprained right ankle (DNP)"
"4212","2014-01-24","Bobcats","","Kemba Walker","sprained left ankle (DNP)"
"4215","2014-01-24","Hawks","","Pero Antic","stress fracture in right ankle (DNP)"
"4216","2014-01-24","Knicks","","Amar'e Stoudemire","sprained left ankle (DNP)"
"4223","2014-01-24","Pelicans","","Jrue Holiday","stress fracture in right ankle/tibia (DNP)"
"4230","2014-01-25","Bobcats","","Kemba Walker","sprained left ankle (DNP)"
"4231","2014-01-25","Bucks","","Ekpe Udoh","sprained left ankle (DNP)"
"4233","2014-01-25","Hawks","","Jeff Teague","sprained left ankle (DNP)"
"4239","2014-01-26","Knicks","","Amar'e Stoudemire","sprained left ankle (DNP)"
"4248","2014-01-26","Pelicans","","Jrue Holiday","stress fracture in right ankle/tibia (DNP)"
"4249","2014-01-27","Bucks","","Ekpe Udoh","sprained left ankle (DNP)"
"4253","2014-01-27","Hawks","","Jeff Teague","sprained left ankle (DNP)"
"4254","2014-01-27","Raptors","","DeMar DeRozan","sprained left ankle/foot (DNP)"
"4262","2014-01-28","Pelicans","","Jrue Holiday","stress fracture in right ankle/tibia (DNP)"
"4268","2014-01-28","Timberwolves","","Nikola Pekovic","bursitis in right ankle (out indefinitely)"
"4271","2014-01-29","Bobcats","","Kemba Walker","sprained left ankle (DNP)"
"4272","2014-01-29","Bucks","","Ekpe Udoh","sprained left ankle (DNP)"
"4281","2014-01-29","Pelicans","","Jrue Holiday","stress fracture in right ankle/tibia (DNP)"
"4288","2014-01-30","Knicks","","Kenyon Martin","sprained left ankle (DNP)"
"4290","2014-01-31","Bobcats","","Kemba Walker","sprained left ankle (DNP)"
"4291","2014-01-31","Bucks","","Ekpe Udoh","sprained left ankle (DNP)"
"4306","2014-02-01","Bobcats","","Kemba Walker","sprained left ankle (DNP)"
"4307","2014-02-01","Bucks","","Ekpe Udoh","sprained left ankle (DNP)"
"4315","2014-02-01","Pelicans","","Jrue Holiday","stress fracture in right ankle/tibia (DNP)"
"4319","2014-02-01","Kings","","DeMarcus Cousins","sprained left ankle (DNP)"
"4321","2014-02-03","Bucks","","Ekpe Udoh","sprained left ankle (DNP)"
"4331","2014-02-03","Pelicans","","Jrue Holiday","stress fracture in right ankle/tibia (DNP)"
"4339","2014-02-05","Bucks","","Ekpe Udoh","sprained left ankle (DNP)"
"4342","2014-02-05","Lakers","","Jodie Meeks","sprained right ankle (DNP)"
"4360","2014-02-07","Celtics","","Avery Bradley","sore right ankle (DNP)"
"4363","2014-02-07","Lakers","","Jodie Meeks","sprained right ankle (DNP)"
