"","code","away.pace","away.efg","away.tov","away.orb","away.ftprb","away.ortg","home.pace","home.efg","home.tov","home.orb","home.ftprb","home.ortg"
"4246","201512060WAS","96.1","0.605","15.4","19.4","0.316","120.6","96.1","0.517","5.8","12","0.135","108.2"
"4247","201512060OKC","99.1","0.438","12.2","23.2","0.205","95.9","99.1","0.442","17.4","40.4","0.256","98.9"
"4248","201512070CHO","98.3","0.425","11","14","0.115","85.5","98.3","0.476","12.3","29.2","0.286","105.8"
"4249","201512070PHI","87.9","0.645","7.4","21.9","0.276","135.4","87.9","0.373","13.4","13","0.16","77.4"
"4250","201512070MIA","92.2","0.549","9.1","28.6","0.141","123.6","92.2","0.63","16.9","13.8","0.232","111.7"
"4251","201512070NYK","93.9","0.53","9","17.1","0.207","110.8","93.9","0.53","12.9","7.7","0.095","103.3"
"4252","201512070TOR","87.4","0.452","14","31.8","0.217","106.4","87.4","0.52","7.4","19.5","0.338","116.7"
"4253","201512070CHI","101.4","0.484","15.3","23.8","0.152","101.6","101.4","0.489","17","34.8","0.144","99.6"
"4254","201512070MIL","91.7","0.435","15.5","30","0.165","95.9","91.7","0.438","15.5","24.4","0.356","98.1"
"4255","201512070MIN","100.7","0.488","14.7","27.1","0.302","109.2","100.7","0.482","15.6","26.8","0.329","105.2"
"4256","201512070NOP","96.5","0.568","15.7","24.4","0.235","115","96.5","0.433","12.5","26.5","0.167","96.3"
"4257","201512080CLE","89.2","0.576","17.3","29.4","0.114","112.2","89.2","0.563","8.4","18.8","0.203","117.8"
"4258","201512080IND","105.9","0.632","12.9","26.3","0.116","123.7","105.9","0.51","12.6","30.8","0.21","116.1"
"4259","201512080BRK","99.8","0.567","20.4","25","0.146","105.2","99.8","0.599","21.4","31.6","0.16","110.3"
"4260","201512080MEM","92.8","0.637","11.3","31.3","0.214","134.7","92.8","0.426","14.2","23.4","0.235","94.8"
"4261","201512080DEN","99.3","0.438","17.8","21.3","0.091","85.6","99.3","0.375","15.5","18.5","0.131","74.6"
"4262","201512080SAC","91.4","0.495","10.6","38","0.163","116","91.4","0.623","14.6","26.5","0.234","124.7"
"4263","201512090BOS","99","0.462","13.7","31.9","0.176","101","99","0.44","10.3","27.1","0.261","106.1"
"4264","201512090CHO","94.1","0.427","16.6","15.9","0.227","86.1","94.1","0.562","10.2","7.7","0.099","105.2"
"4265","201512090WAS","104.8","0.554","16.8","14.3","0.205","104.1","104.8","0.466","15.3","23.4","0.225","98.3"
"4266","201512090DET","91.9","0.489","15.4","34.8","0.08","101.2","91.9","0.471","11.4","26","0.115","100.1"
"4267","201512090TOR","88.7","0.493","16.4","30.2","0.25","106","88.7","0.602","21.3","15.4","0.313","109.4"
"4268","201512090MIL","97.6","0.543","12.6","26.7","0.259","111.7","97.6","0.478","10.4","15.2","0.1","97.4"
"4269","201512090MIN","93.4","0.565","7.9","21.4","0.183","118.3","93.4","0.532","11.6","31.1","0.258","119.3"
"4270","201512090PHO","98.9","0.541","14.8","13.2","0.141","105.2","98.9","0.55","16.4","28.9","0.238","108.2"
"4271","201512090UTA","92.2","0.449","10","14.3","0.192","92.2","92.2","0.544","13.4","23.7","0.238","115"
"4272","201512090DAL","94.5","0.519","13.6","16.2","0.173","103.7","94.5","0.395","7.7","32.8","0.16","100.5"
"4273","201512100BRK","91.7","0.414","9.4","27.7","0.218","99.2","91.7","0.541","18.1","26.5","0.27","109"
"4274","201512100CHI","89","0.398","12.2","26.8","0.114","89.9","89","0.397","10.5","26","0.161","93.3"
"4275","201512100OKC","92.2","0.513","9.3","10.6","0.179","101.9","92.2","0.544","13.3","25.6","0.25","116"
"4276","201512100SAC","99.1","0.452","15.9","27.7","0.265","97.9","99.1","0.468","10.7","19.6","0.129","99.9"
"4277","201512110IND","97.1","0.463","18","17.4","0.099","85.5","97.1","0.453","11.2","15.9","0.209","98.9"
"4278","201512110ORL","92","0.646","17.7","27.3","0.25","120.6","92","0.431","19","14.3","0.194","82.6"
"4279","201512110PHI","95.6","0.516","12.3","35.4","0.118","112","95.6","0.488","18.8","29.5","0.213","99.4"
"4280","201512110BOS","100.4","0.435","12.7","29.8","0.29","102.2","100.4","0.482","11","18","0.079","98.1"
"4281","201512110TOR","88.7","0.438","14.7","23.8","0.163","93.6","88.7","0.536","16.6","18.9","0.214","101.5"
"4282","201512110MEM","94.6","0.615","12.5","19.4","0.346","130.1","94.6","0.444","11.1","24.4","0.35","104.7"
"4283","201512110NOP","92.7","0.575","10.1","15","0.163","113.3","92.7","0.595","15.5","20.6","0.165","115.4"
"4284","201512110DEN","91.4","0.477","9.1","16","0.287","107","91.4","0.506","10.7","18.6","0.279","110"
"4285","201512110UTA","86.3","0.506","13.1","28.2","0.177","109","86.3","0.474","11","24.4","0.205","104.3"
"4286","201512110PHO","92.2","0.531","10.8","30.4","0.042","114.9","92.2","0.512","9","17.8","0.133","104.1"
"4287","201512110SAS","94.8","0.46","14","19.1","0.068","91.8","94.8","0.573","12.3","28.9","0.183","115"
"4288","201512120BRK","95.9","0.547","11.3","17.1","0.128","109.5","95.9","0.475","14.8","26.7","0.316","104.3"
